fare_id,route_id,origin_id,destination_id
F0,,SAP,SAP
F1,,SME,SAP
F2,,SOT,SAP
F3,,SAL,SAP
F4,,SGU,SAP
F4,,SLM,SAP
F4,,SSA,SAP
F4,,SCR,SAP
F4,,STE,SAP
F5,,SGM,SAP
F5,,STL,SAP
F5,,SLI,SAP
F5,,SGE,SAP
F5,,SCC,SAP
F6,,SHC,SAP
F6,,SMA,SAP
F6,,SWA,SAP
F4,,SSI,SAP
F4,,SAN,SAP
F4,,SVA,SAP
F4,,SAR,SAP
F5,,SCM,SAP
F5,,SKO,SAP
F5,,STI,SAP
F5,,SAT,SAP
F5,,SAE,SAP
F6,,SSN,SAP
F6,,SPC,SAP
F6,,SKM,SAP
F6,,SNP,SAP
F6,,SEG,SAP
F3,,SMM,SAP
F1,,SAP,SME
F0,,SME,SME
F2,,SOT,SME
F2,,SAL,SME
F3,,SGU,SME
F3,,SLM,SME
F4,,SSA,SME
F4,,SCR,SME
F4,,STE,SME
F4,,SGM,SME
F5,,STL,SME
F5,,SLI,SME
F5,,SGE,SME
F5,,SCC,SME
F5,,SHC,SME
F6,,SMA,SME
F6,,SWA,SME
F3,,SSI,SME
F4,,SAN,SME
F4,,SVA,SME
F4,,SAR,SME
F4,,SCM,SME
F5,,SKO,SME
F5,,STI,SME
F5,,SAT,SME
F5,,SAE,SME
F5,,SSN,SME
F6,,SPC,SME
F6,,SKM,SME
F6,,SNP,SME
F5,,SEG,SME
F3,,SMM,SME
F2,,SAP,SOT
F2,,SME,SOT
F0,,SOT,SOT
F1,,SAL,SOT
F2,,SGU,SOT
F2,,SLM,SOT
F3,,SSA,SOT
F4,,SCR,SOT
F4,,STE,SOT
F4,,SGM,SOT
F4,,STL,SOT
F4,,SLI,SOT
F5,,SGE,SOT
F5,,SCC,SOT
F5,,SHC,SOT
F5,,SMA,SOT
F6,,SWA,SOT
F2,,SSI,SOT
F3,,SAN,SOT
F4,,SVA,SOT
F4,,SAR,SOT
F4,,SCM,SOT
F4,,SKO,SOT
F5,,STI,SOT
F5,,SAT,SOT
F5,,SAE,SOT
F5,,SSN,SOT
F5,,SPC,SOT
F5,,SKM,SOT
F5,,SNP,SOT
F5,,SEG,SOT
F2,,SMM,SOT
F3,,SAP,SAL
F2,,SME,SAL
F1,,SOT,SAL
F0,,SAL,SAL
F1,,SGU,SAL
F2,,SLM,SAL
F2,,SSA,SAL
F3,,SCR,SAL
F4,,STE,SAL
F4,,SGM,SAL
F4,,STL,SAL
F4,,SLI,SAL
F4,,SGE,SAL
F5,,SCC,SAL
F5,,SHC,SAL
F5,,SMA,SAL
F5,,SWA,SAL
F1,,SSI,SAL
F2,,SAN,SAL
F3,,SVA,SAL
F4,,SAR,SAL
F4,,SCM,SAL
F4,,SKO,SAL
F4,,STI,SAL
F4,,SAT,SAL
F5,,SAE,SAL
F5,,SSN,SAL
F5,,SPC,SAL
F5,,SKM,SAL
F5,,SNP,SAL
F5,,SEG,SAL
F1,,SMM,SAL
F4,,SAP,SGU
F3,,SME,SGU
F2,,SOT,SGU
F1,,SAL,SGU
F0,,SGU,SGU
F1,,SLM,SGU
F2,,SSA,SGU
F2,,SCR,SGU
F3,,STE,SGU
F3,,SGM,SGU
F4,,STL,SGU
F4,,SLI,SGU
F4,,SGE,SGU
F4,,SCC,SGU
F5,,SHC,SGU
F5,,SMA,SGU
F5,,SWA,SGU
F2,,SSI,SGU
F3,,SAN,SGU
F4,,SVA,SGU
F4,,SAR,SGU
F4,,SCM,SGU
F4,,SKO,SGU
F5,,STI,SGU
F5,,SAT,SGU
F5,,SAE,SGU
F5,,SSN,SGU
F5,,SPC,SGU
F5,,SKM,SGU
F5,,SNP,SGU
F5,,SEG,SGU
F2,,SMM,SGU
F4,,SAP,SLM
F3,,SME,SLM
F2,,SOT,SLM
F2,,SAL,SLM
F1,,SGU,SLM
F0,,SLM,SLM
F1,,SSA,SLM
F2,,SCR,SLM
F2,,STE,SLM
F3,,SGM,SLM
F4,,STL,SLM
F4,,SLI,SLM
F4,,SGE,SLM
F4,,SCC,SLM
F4,,SHC,SLM
F5,,SMA,SLM
F5,,SWA,SLM
F2,,SSI,SLM
F4,,SAN,SLM
F4,,SVA,SLM
F4,,SAR,SLM
F4,,SCM,SLM
F4,,SKO,SLM
F5,,STI,SLM
F5,,SAT,SLM
F5,,SAE,SLM
F5,,SSN,SLM
F5,,SPC,SLM
F5,,SKM,SLM
F5,,SNP,SLM
F4,,SEG,SLM
F2,,SMM,SLM
F4,,SAP,SSA
F4,,SME,SSA
F3,,SOT,SSA
F2,,SAL,SSA
F2,,SGU,SSA
F1,,SLM,SSA
F0,,SSA,SSA
F1,,SCR,SSA
F2,,STE,SSA
F2,,SGM,SSA
F3,,STL,SSA
F4,,SLI,SSA
F4,,SGE,SSA
F4,,SCC,SSA
F4,,SHC,SSA
F4,,SMA,SSA
F5,,SWA,SSA
F3,,SSI,SSA
F4,,SAN,SSA
F4,,SVA,SSA
F4,,SAR,SSA
F4,,SCM,SSA
F5,,SKO,SSA
F5,,STI,SSA
F5,,SAT,SSA
F5,,SAE,SSA
F5,,SSN,SSA
F5,,SPC,SSA
F5,,SKM,SSA
F4,,SNP,SSA
F4,,SEG,SSA
F3,,SMM,SSA
F4,,SAP,SCR
F4,,SME,SCR
F4,,SOT,SCR
F3,,SAL,SCR
F2,,SGU,SCR
F2,,SLM,SCR
F1,,SSA,SCR
F0,,SCR,SCR
F1,,STE,SCR
F1,,SGM,SCR
F2,,STL,SCR
F3,,SLI,SCR
F3,,SGE,SCR
F4,,SCC,SCR
F4,,SHC,SCR
F4,,SMA,SCR
F4,,SWA,SCR
F4,,SSI,SCR
F4,,SAN,SCR
F4,,SVA,SCR
F5,,SAR,SCR
F5,,SCM,SCR
F5,,SKO,SCR
F5,,STI,SCR
F5,,SAT,SCR
F5,,SAE,SCR
F5,,SSN,SCR
F4,,SPC,SCR
F4,,SKM,SCR
F4,,SNP,SCR
F4,,SEG,SCR
F4,,SMM,SCR
F4,,SAP,STE
F4,,SME,STE
F4,,SOT,STE
F4,,SAL,STE
F3,,SGU,STE
F2,,SLM,STE
F2,,SSA,STE
F1,,SCR,STE
F0,,STE,STE
F1,,SGM,STE
F2,,STL,STE
F2,,SLI,STE
F3,,SGE,STE
F4,,SCC,STE
F4,,SHC,STE
F4,,SMA,STE
F4,,SWA,STE
F4,,SSI,STE
F4,,SAN,STE
F4,,SVA,STE
F5,,SAR,STE
F5,,SCM,STE
F5,,SKO,STE
F5,,STI,STE
F5,,SAT,STE
F5,,SAE,STE
F5,,SSN,STE
F4,,SPC,STE
F4,,SKM,STE
F4,,SNP,STE
F4,,SEG,STE
F4,,SMM,STE
F5,,SAP,SGM
F4,,SME,SGM
F4,,SOT,SGM
F4,,SAL,SGM
F3,,SGU,SGM
F3,,SLM,SGM
F2,,SSA,SGM
F1,,SCR,SGM
F1,,STE,SGM
F0,,SGM,SGM
F1,,STL,SGM
F2,,SLI,SGM
F2,,SGE,SGM
F3,,SCC,SGM
F4,,SHC,SGM
F4,,SMA,SGM
F4,,SWA,SGM
F4,,SSI,SGM
F4,,SAN,SGM
F5,,SVA,SGM
F5,,SAR,SGM
F5,,SCM,SGM
F5,,SKO,SGM
F5,,STI,SGM
F5,,SAT,SGM
F5,,SAE,SGM
F4,,SSN,SGM
F4,,SPC,SGM
F4,,SKM,SGM
F4,,SNP,SGM
F4,,SEG,SGM
F4,,SMM,SGM
F5,,SAP,STL
F5,,SME,STL
F4,,SOT,STL
F4,,SAL,STL
F4,,SGU,STL
F4,,SLM,STL
F3,,SSA,STL
F2,,SCR,STL
F2,,STE,STL
F1,,SGM,STL
F0,,STL,STL
F1,,SLI,STL
F1,,SGE,STL
F2,,SCC,STL
F3,,SHC,STL
F4,,SMA,STL
F4,,SWA,STL
F4,,SSI,STL
F5,,SAN,STL
F5,,SVA,STL
F5,,SAR,STL
F5,,SCM,STL
F5,,SKO,STL
F5,,STI,STL
F4,,SAT,STL
F4,,SAE,STL
F4,,SSN,STL
F4,,SPC,STL
F4,,SKM,STL
F4,,SNP,STL
F3,,SEG,STL
F4,,SMM,STL
F5,,SAP,SLI
F5,,SME,SLI
F4,,SOT,SLI
F4,,SAL,SLI
F4,,SGU,SLI
F4,,SLM,SLI
F4,,SSA,SLI
F3,,SCR,SLI
F2,,STE,SLI
F2,,SGM,SLI
