trip_id,arrival_time,departure_time,stop_id,stop_sequence
WD020101,06:51:47,06:52:27,201_2,1
WD020101,06:54:43,06:55:43,202_1,2
WD020101,06:57:18,06:57:58,203_1,3
WD020101,06:59:11,06:59:51,204_1,4
WD020101,07:01:18,07:01:58,205_1,5
WD020101,07:03:48,07:04:28,206_1,6
WD020101,07:06:07,07:06:47,207_1,7
WD020101,07:08:19,07:08:59,208_1,8
WD020101,07:10:12,07:10:52,209_1,9
WD020101,07:13:46,07:14:26,210_1,10
WD020101,07:16:33,07:17:33,211_1,11
WD020101,07:19:27,07:20:07,212_1,12
WD020101,07:21:52,07:22:32,213_1,13
WD020101,07:24:54,07:25:34,214_1,14
WD020101,07:28:20,07:29:00,215_1,15
WD020101,07:30:51,07:31:51,216_1,16
WD020101,07:33:38,07:34:18,115_1,17
WD020101,07:37:08,07:37:48,116_1,18
WD020101,07:40:00,07:42:30,117_2,19
WD230102,07:40:00,07:42:30,117_2,1
WD230102,07:45:32,07:46:12,116_2,2
WD230102,07:48:08,07:48:48,115_2,3
WD230102,07:50:29,07:51:09,216_2,4
WD230102,07:52:55,07:53:35,215_2,5
WD230102,07:56:33,07:57:13,214_2,6
WD230102,07:59:27,08:00:07,213_2,7
WD230102,08:01:47,08:02:27,212_2,8
WD230102,08:04:21,08:05:01,211_2,9
WD230102,08:07:09,08:07:49,210_2,10
WD230102,08:10:46,08:11:26,209_2,11
WD230102,08:12:39,08:13:19,208_2,12
WD230102,08:14:50,08:15:30,207_2,13
WD230102,08:17:08,08:17:48,206_2,14
WD230102,08:19:40,08:20:20,205_2,15
WD230102,08:21:46,08:22:26,204_2,16
WD230102,08:23:40,08:24:20,203_2,17
WD230102,08:25:55,08:26:35,202_2,18
WD230102,08:28:57,08:32:27,201_2,19
WD020103,08:28:57,08:32:27,201_2,1
WD020103,08:34:43,08:35:43,202_1,2
WD020103,08:37:18,08:37:58,203_1,3
WD020103,08:39:11,08:39:51,204_1,4
WD020103,08:41:18,08:41:58,205_1,5
WD020103,08:43:48,08:44:28,206_1,6
WD020103,08:46:07,08:46:47,207_1,7
WD020103,08:48:19,08:48:59,208_1,8
WD020103,08:50:12,08:50:52,209_1,9
WD020103,08:53:46,08:54:26,210_1,10
WD020103,08:56:33,08:57:33,211_1,11
WD020103,08:59:27,09:00:07,212_1,12
WD020103,09:01:52,09:02:32,213_1,13
WD020103,09:04:54,09:05:34,214_1,14
WD020103,09:08:20,09:09:00,215_1,15
WD020103,09:10:51,09:11:51,216_1,16
WD020103,09:13:38,09:14:18,115_1,17
WD020103,09:17:08,09:17:48,116_1,18
WD020103,09:20:00,09:22:30,117_2,19
WD230104,09:20:00,09:22:30,117_2,1
WD230104,09:25:32,09:26:12,116_2,2
WD230104,09:28:07,09:28:47,115_2,3
WD230104,09:30:29,09:31:09,216_2,4
WD230104,09:32:55,09:33:35,215_2,5
WD230104,09:36:33,09:37:13,214_2,6
WD230104,09:39:27,09:40:07,213_2,7
