from_stop_id,to_stop_id,from_route_id,to_route_id,transfer_type
216_2,216_1,24217,17201,0
216_2,216_1,23117,17201,0
216_1,216_1,02201,17201,0
114_2,216_1,86117,17201,0
114_1,216_1,01101,17201,0
216_1,216_2,17201,24217,0
216_2,216_2,23117,24217,0
216_1,216_2,02201,24217,0
114_2,216_2,86117,24217,0
114_1,216_2,01101,24217,0
216_1,216_2,17201,23117,0
216_2,216_2,24217,23117,0
216_1,216_2,02201,23117,0
114_2,216_2,86117,23117,0
114_1,216_2,01101,23117,0
216_1,216_1,17201,02201,0
216_2,216_1,24217,02201,0
216_2,216_1,23117,02201,0
114_2,216_1,86117,02201,0
114_1,216_1,01101,02201,0
216_1,114_2,17201,86117,0
216_2,114_2,24217,86117,0
216_2,114_2,23117,86117,0
216_1,114_2,02201,86117,0
114_1,114_2,01101,86117,0
216_1,114_1,17201,01101,0
216_2,114_1,24217,01101,0
216_2,114_1,23117,01101,0
216_1,114_1,02201,01101,0
114_2,114_1,86117,01101,0
201_1,201_1,24217,17201,0
201_2,201_1,23117,17201,0
201_2,201_1,02201,17201,0
104_3,201_1,86117,17201,0
104_1,201_1,01101,17201,0
201_1,201_1,17201,24217,0
201_2,201_1,23117,24217,0
201_2,201_1,02201,24217,0
104_3,201_1,86117,24217,0
104_1,201_1,01101,24217,0
201_1,201_2,17201,23117,0
201_1,201_2,24217,23117,0
201_2,201_2,02201,23117,0
104_3,201_2,86117,23117,0
104_1,201_2,01101,23117,0
201_1,201_2,17201,02201,0
201_1,201_2,24217,02201,0
201_2,201_2,23117,02201,0
104_3,201_2,86117,02201,0
104_1,201_2,01101,02201,0
201_1,104_3,17201,86117,0
201_1,104_3,24217,86117,0
201_2,104_3,23117,86117,0
201_2,104_3,02201,86117,0
104_1,104_3,01101,86117,0
201_1,104_1,17201,01101,0
201_1,104_1,24217,01101,0
201_2,104_1,23117,01101,0
201_2,104_1,02201,01101,0
104_3,104_1,86117,01101,0




