route_id,service_id,trip_id,trip_headsign,shape_id
02201,WD,WD020101,Airport,sh13
23117,WD,WD230102,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD020103,Airport,sh13
23117,WD,WD230104,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD020105,Airport,sh13
23117,WD,WD230106,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD020107,Airport,sh13
23117,WD,WD230108,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD020109,Airport,sh13
23117,WD,WD230110,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD020111,Airport,sh13
23117,WD,WD230112,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD020113,Airport,sh13
23117,WD,WD230114,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD020115,Airport,sh13
23117,WD,WD230116,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD020117,Airport,sh13
23117,WD,WD230118,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
24217,WD,WD240201,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD170202,St.Thomas Mount,sh7
24217,WD,WD240203,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD170204,St.Thomas Mount,sh7
24217,WD,WD240205,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
86117,WD,WD860301,Washermenpet Metro,sh12
01101,WD,WD010302,Airport,sh11
86117,WD,WD860303,Washermenpet Metro,sh12
01101,WD,WD010304,Airport,sh11
86117,WD,WD860305,Washermenpet Metro,sh12
01101,WD,WD010306,Airport,sh11
86117,WD,WD860307,Washermenpet Metro,sh12
01101,WD,WD010308,Airport,sh11
86117,WD,WD860309,Washermenpet Metro,sh12
01101,WD,WD010310,Airport,sh11
86117,WD,WD860311,Washermenpet Metro,sh12
01101,WD,WD010312,Airport,sh11
86117,WD,WD860313,Washermenpet Metro,sh12
01101,WD,WD010314,Airport,sh11
86117,WD,WD860315,Washermenpet Metro,sh12
01101,WD,WD010316,Airport,sh11
86117,WD,WD860317,Washermenpet Metro,sh12
01101,WD,WD010318,Airport,sh11
86117,WD,WD860319,Washermenpet Metro,sh12
23117,WD,WD230401,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD020402,Airport,sh13
23117,WD,WD230403,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD020404,Airport,sh13
23117,WD,WD230405,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD020406,Airport,sh13
23117,WD,WD230407,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD020408,Airport,sh13
23117,WD,WD230409,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD020410,Airport,sh13
23117,WD,WD230411,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD020412,Airport,sh13
23117,WD,WD230413,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD020414,Airport,sh13
23117,WD,WD230415,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
