stop_id,stop_name,stop_lat,stop_lon
VriUyyDM,Kelambakkam Bus Terminal,12.7865151207939,80.2219003760524
bzkCWXwV,Chettinad Hospital,12.7959468451487,80.222816693539
aEhaaulL,Hindustan College,12.8014492316854,80.2234830715595
syNMMSsu,Padur,12.8054953645818,80.2240691206266
nermFKBU,Akshaya Padur,12.8110198881784,80.2279459465107
eHBdrFbQ,Kazhipattur,12.8196453659373,80.2303984278434
AQHsowCO,Vaniyanchavadi Padma Adarsh School,12.8263573168062,80.2312504255
oLzlCKof,IT Park Siruseri Or Muttukadu,12.8331505001793,80.2287317992792
QxkHLGuk,Navallur,12.8447227019753,80.2264329455497
MlXQVZuf,AGS Complex Navalur,12.8504082242678,80.2263838472379
VHmQaoRO,Semmancheri,12.861658751683,80.2264013746972
kbNsckqG,Satyabhama University,12.8710494937925,80.2264134847262
qQJgvOFz,Kumaran Nagar,12.8776436282884,80.2266466621155
oRUBDfuD,Ponniamman Kovil,12.886070391143,80.226688052114
nunLDRbE,Government School Sholinganallur,12.894547209832,80.2274082880788
deapEAbC,Sholinganallur,12.8999126491676,80.2276772659969
aZtqChJJ,Dollar Or Accenture,12.9074830010336,80.2281537642377
ttVqQknl,Karapakkam,12.9134975639419,80.2290407840205
ryJVAbFB,TCS Karapakkam,12.9198073548931,80.2299346535475
vnfcOAch,Okkiyampet,12.9257739117215,80.2306817036181
pjRBTtLk,PTC Quarters,12.9329839571655,80.232268456854
ZKEtlMvK,Mettukuppam,12.9391030734907,80.2352024477282
kohCEyKT,D B Jain College,12.9466100989436,80.2395089526666
FaHpkwNs,Seevaram,12.9510403253947,80.2412314318983
DpeufCiu,Perungudi,12.9588335581102,80.2442540163613
SGVPbDEb,Kandanchavadi,12.9669348690664,80.2478273636378
MtINPaKl,I G P,12.9743000938699,80.2503684124754
mNGfniSu,S R P Tools,12.9802078469821,80.251171253355
FrOiWYSP,Tharamani Or IRTC Junction,12.9812248285943,80.2427127764461
PWitnUnB,Baby Nagar,12.9803020051575,80.2286266544888
FUctipSE,Tansi Nagar,12.9782938850414,80.2253186228774
ZLkqgjFx,Velachery,12.9759664727831,80.2210851326889
YhQOzAWJ,Dhandeeswaran Nagar,12.9854660289947,80.223205300886
elmHqfIN,Gandhi Road,12.987735730555,80.2230218308446
jTofnsvB,Guru Nanak College,12.9906225314037,80.2201771094346
gLCWwgiT,Vellacherry Check Post,12.9971583965691,80.216389757531
QqOCsOqs,Maduvankarai,13.0036636811562,80.2117336926829
NnWpamLT,Guindy M K N Salai,13.0072364234155,80.2097188312896
GYfZYaJh,CIPET,13.0147061358628,80.2044402680028
JKFFGKvY,Kalaimagal Nagar,13.0242890410787,80.2066530139332
zgCGmKZn,Kasi Theatre,13.0292585609518,80.2086810599278
aYSqaQmJ,K.K Nagar Telephone Exchange Jaffarkhanpet,13.0316413640145,80.2093078470252
CsDsDrdU,Vadapalani,13.0470107291827,80.2120907575621
hEiWbVAe,Vadapalani Kovil,13.0497874359755,80.2119004732197
dbPZeeiE,Thirunagar,13.0574129672542,80.211295896172
LKVeVUNI,MMDA Colony Road Junction,13.0650760314628,80.2108830968864
BpAiVnps,CMBT Bus Depot,13.0689796482551,80.2051879834801
qGgPbtbT,Thiruvottiyur Ajax Bus Depot,13.1721910730749,80.305445194663
lDHqxCQW,Vellayan Chettiyar School,13.1684506648659,80.3044562937491
bbaQRYSI,Thiruvottiyur Market,13.164379324478,80.3034966314814
oVNIhiyF,Theradi,13.1606325301115,80.3025762033998
TurKlwMz,Ellaiamman Kovil,13.1570165594793,80.3015560289132
NkWMDpBL,Thiruvottiyur Police Station,13.1538355890462,80.3005444789667
EXHVDpee,Raja Kaladi,13.1513615296529,80.2997681975763
NuwmOhpA,Thangal,13.1477579176416,80.2982795195707
CLjYTiBy,Thangal Toll Gate,13.1443527063023,80.2968912692758
fumBmOZX,Cross Road Toll Gate,13.1392171813633,80.2948255064657
ogrZorIF,Lakshmi Amman Koil,13.1353400861823,80.2934312679586
CEyhPnMH,Tondiarpet Bus Depot,13.1319103270306,80.2920873810211
OQRQrPoA,Apollo Or Cholera  Hospital,13.1286613884122,80.2908773057306
ZYYkqCCW,Tondiarpet,13.1272806302608,80.2897548110892
FJLNitGY,Chinna Standly,13.1262855509249,80.2872443222891
XGgrBziF,Tondiarpet Power House,13.1285275099798,80.2790157387852
RtBolNHG,Korukkupet Police Station,13.1243271292426,80.2776708457916
ABRKsLIZ,Sunnambu Kalvai,13.1250736327547,80.2737126857818
sOHmZtiS,Ezhil Nagar,13.1265306305155,80.2715657314137
uUBnPWGG,Kodungaiyur Dumping Station,13.1300213708567,80.2671258027606
KHbKaRBy,Mullai Nagar Bus Stand,13.1234152939922,80.2657189561168
EMzKPzug,MKB Nagar East,13.1229635691513,80.2598438801575
twMezfOU,Ambedkar College Vyasarpadi,13.1183037584745,80.259366110575
lkujKSJT,Sharma Nagar,13.1204776963075,80.2544299838892
yaKWBgLg,Erukkancheri Toll Gate,13.1220411109971,80.2509998313254
IvQQZbJW,Erukancherry,13.1245422432118,80.2470665866335
YNGFHQVb,Moolakadai,13.128449403741,80.241986892858
vyQyYYqJ,Madhavaram Bus Depot,13.1319953476491,80.2370837614226
fjevhefZ,Kanagachathiram,13.1364930811433,80.2309880116742
AUBTKFbY,Kalpana Lamps,13.1388065598666,80.2278771576009
pzcCDVmZ,Madhavaram Rountana,13.1450313607156,80.2193218956513
TCBUGaZf,Kathirvedu Bypass,13.15314502791,80.208248128074
BlnSxBAr,Puzhal Camp,13.1574748679714,80.2039672125743
