route_short_name,route_long_name,route_type,route_id,agency_id
,570UP,3,yxjeqyBB,MTC
,570UP_2,3,eoZPiIBa,MTC
,570DOWN,3,fveioVce,MTC
,157ETUP,3,OpmLiwfL,MTC
,157ETDOWN,3,XqDGCCxM,MTC
,114SUP,3,DSKNDDIU,MTC
,114SDOWN,3,OnwjHsww,MTC
,56TUP,3,sHyFNCQB,MTC
,56TDOWN,3,ihsHbmFM,MTC
,7MUP,3,WvIXAwhH,MTC
,7MDOWN,3,ncxsZEFl,MTC
,M152NUP,3,VNcniYQu,MTC
,M152NDOWN,3,QWZsxjik,MTC
,S42UP,3,SRIdKEam,MTC
,S42DOWN,3,rJKVlkXh,MTC
,583AUP,3,DEqJBNdR,MTC
,583ADOWN,3,TznMsdvp,MTC
,142BUP,3,FuiNPJgX,MTC
,142BDOWN,3,pWepmxeL,MTC
,121DUP,3,qKuJqSNy,MTC
,121DDOWN,3,pJUwepTi,MTC
,M18CUP,3,dbcQKxae,MTC
,M18CDOWN,3,KEmaFkWS,MTC
,S31UP,3,qRLNFQvE,MTC
,S31DOWN,3,XeGywTND,MTC
,P-30UP,3,hzJUWwqf,MTC
,P-30DOWN,3,UheDTkpZ,MTC
,188ETUP,3,DVZfWDEa,MTC
,188ETDOWN,3,JScPKquM,MTC
,28UP,3,lOIMjTrd,MTC
,28DOWN,3,DtqHGUhD,MTC
,51DUP,3,ItkxgIdm,MTC
,51DDOWN,3,RglQuaNZ,MTC
,593CTUP,3,RnrzrCkA,MTC
,593CTDOWN,3,PCkQENKV,MTC
,5BUP,3,aqhekrvb,MTC
,5BDOWN,3,hzUvMKyT,MTC
,D70UP,3,ncVZAXuS,MTC
,D70DOWN,3,ngiNMOrb,MTC
,19AUP,3,pJDiRIrv,MTC
,19ADOWN,3,GDLkUNsG,MTC
,20AUP,3,jouxVtZc,MTC
,20ADOWN,3,cwKrHpjX,MTC
,54VCTUP,3,JndMTFiD,MTC
,54VCTDOWN,3,JXRzZJvh,MTC
,55GUP,3,oxgeMycb,MTC
,55GDOWN,3,dtMcAevx,MTC
,S36UP,3,LGxAcQwG,MTC
,S36DOWN,3,znPXrwAP,MTC
,SEC-20UP,3,mXloGGSy,MTC
,SEC-20DOWN,3,TYCYAIka,MTC
,53UP,3,qjjnripA,MTC
,53DOWN,3,fZDulcVL,MTC
,65HUP,3,gPwRmVGG,MTC
,65HDOWN,3,YUtMtEzC,MTC
,147VUP,3,VeDBxOOg,MTC
,147VDOWN,3,yErMvJXz,MTC
,GS-1UP,3,SfTfkYYM,MTC
,GS-1DOWN,3,INlwpfzH,MTC
,P-28UP,3,TDSyGBYZ,MTC
,P-28DOWN,3,EbFMqSMm,MTC
,71DUP,3,lAUOuEmq,MTC
,71DDOWN,3,WmKVSSxh,MTC
,S35UP,3,PmSlLEUv,MTC
,S35DOWN,3,GUVtQSNK,MTC
,46GUP,3,NamZccnc,MTC
,46GDOWN,3,eGtFJokQ,MTC
,18DUP,3,GpHWezHK,MTC
,18DDOWN,3,vGUnJJwU,MTC
,221CTUP,3,KylmBVyW,MTC
,221CTDOWN,3,woAsbIjb,MTC
,55UP,3,ikiTEPUx,MTC
,55DOWN,3,mqtxKwoq,MTC
,HC-2UP,3,MMuGRmkI,MTC
,HC-2DOWN,3,snQNFyJz,MTC
,109CTUP,3,aPUyJDbS,MTC
,109CTDOWN,3,TgtqptVH,MTC
,M18DUP,3,yJDcyrLu,MTC
,M18DDOWN,3,SgHLFDud,MTC
,57EUP,3,nfFIKGjN,MTC
,57EDOWN,3,zqEKmTYn,MTC
,4CUP,3,embmsryq,MTC
,4CDOWN,3,otJuxqqY,MTC
,57CUP,3,tuDAIREe,MTC
,57CDOWN,3,SvxoQlTf,MTC
,570CUP,3,grzNJTSE,MTC
,570CDOWN,3,mMnViRsa,MTC
,79UP,3,hneCtuto,MTC
,79DOWN,3,TozgzNOh,MTC
